Year,Category,Prize,Motivation,Prize Share,Laureate ID,Laureate Type,Full Name,Birth Date,Birth City,Birth Country,Sex,Organization Name,Organization City,Organization Country,Death Date,Death City,Death Country
1977,Physics,The Nobel Prize in Physics 1977,"""for their fundamental theoretical investigations of the electronic structure of magnetic and disordered systems""",3-Jan,108,Individual,Sir Nevill Francis Mott,9/30/1905,Leeds,United Kingdom,Male,University of Cambridge,Cambridge,United Kingdom,8/8/1996,Milton Keynes,United Kingdom
1977,Physics,The Nobel Prize in Physics 1977,"""for their fundamental theoretical investigations of the electronic structure of magnetic and disordered systems""",3-Jan,109,Individual,John Hasbrouck van Vleck,1899-03-13,"Middletown, CT",United States of America,Male,Harvard University,"Cambridge, MA",United States of America,10/27/1980,"Cambridge, MA",United States of America
1978,Chemistry,The Nobel Prize in Chemistry 1978,"""for his contribution to the understanding of biological energy transfer through the formulation of the chemiosmotic theory""",1-Jan,251,Individual,Peter D. Mitchell,9/29/1920,Mitcham,United Kingdom,Male,Glynn Research Laboratories,Bodmin,United Kingdom,4/10/1992,Bodmin,United Kingdom
1978,Economics,The Sveriges Riksbank Prize in Economic Sciences 1978,"""for his pioneering research into the decision-making process within economic organizations""",1-Jan,691,Individual,Herbert A. Simon,6/15/1916,"Milwaukee, WI",United States of America,Male,Carnegie Mellon University,"Pittsburgh, PA",United States of America,2/9/2001,"Pittsburgh, PA",United States of America
1978,Literature,The Nobel Prize in Literature 1978,"""for his impassioned narrative art which, with roots in a Polish-Jewish cultural tradition, brings universal human conditions to life""",1-Jan,654,Individual,Isaac Bashevis Singer,7/14/1904,Leoncin,Russian Empire (Poland),Male,,,,7/24/1991,"Surfside, FL",United States of America
1978,Medicine,The Nobel Prize in Physiology or Medicine 1978,"""for the discovery of restriction enzymes and their application to problems of molecular genetics""",3-Jan,414,Individual,Werner Arber,6/3/1929,Gränichen,Switzerland,Male,Biozentrum der Universität,Basel,Switzerland,,,
1978,Medicine,The Nobel Prize in Physiology or Medicine 1978,"""for the discovery of restriction enzymes and their application to problems of molecular genetics""",3-Jan,415,Individual,Daniel Nathans,10/30/1928,"Wilmington, DE",United States of America,Male,Johns Hopkins University School of Medicine,"Baltimore, MD",United States of America,11/16/1999,"Baltimore, MD",United States of America
1978,Medicine,The Nobel Prize in Physiology or Medicine 1978,"""for the discovery of restriction enzymes and their application to problems of molecular genetics""",3-Jan,416,Individual,Hamilton O. Smith,8/23/1931,"New York, NY",United States of America,Male,Johns Hopkins University School of Medicine,"Baltimore, MD",United States of America,,,
1978,Peace,The Nobel Peace Prize 1978,,2-Jan,538,Individual,Mohamed Anwar al-Sadat,12/25/1918,Mit Abu al-Kawm,Egypt,Male,,,,10/6/1981,Cairo,Egypt
1978,Peace,The Nobel Peace Prize 1978,,2-Jan,539,Individual,Menachem Begin,8/16/1913,Brest Litovsk,Russian Empire (Belarus),Male,,,,3/9/1992,Tel Aviv,Israel
1978,Physics,The Nobel Prize in Physics 1978,"""for his basic inventions and discoveries in the area of low-temperature physics""",2-Jan,110,Individual,Pyotr Leonidovich Kapitsa,1894-07-09,Kronshtadt,Russian Empire (Russia),Male,Academy of Sciences,Moscow,Union of Soviet Socialist Republics,4/8/1984,Moscow,Union of Soviet Socialist Republics (Russia)
1978,Physics,The Nobel Prize in Physics 1978,"""for their discovery of cosmic microwave background radiation""",4-Jan,111,Individual,Arno Allan Penzias,4/26/1933,Munich,Germany,Male,Bell Laboratories,"Holmdel, NJ",United States of America,,,
1978,Physics,The Nobel Prize in Physics 1978,"""for their discovery of cosmic microwave background radiation""",4-Jan,112,Individual,Robert Woodrow Wilson,1/10/1936,"Houston, TX",United States of America,Male,Bell Laboratories,"Holmdel, NJ",United States of America,,,
1979,Chemistry,The Nobel Prize in Chemistry 1979,"""for their development of the use of boron- and phosphorus-containing compounds, respectively, into important reagents in organic synthesis""",2-Jan,252,Individual,Herbert C. Brown,5/22/1912,London,United Kingdom,Male,Purdue University,"West Lafayette, IN",United States of America,12/19/2004,"Lafayette, IN",United States of America
1979,Chemistry,The Nobel Prize in Chemistry 1979,"""for their development of the use of boron- and phosphorus-containing compounds, respectively, into important reagents in organic synthesis""",2-Jan,253,Individual,Georg Wittig,1897-06-16,Berlin,Germany,Male,University of Heidelberg,Heidelberg,Federal Republic of Germany,8/26/1987,Heidelberg,West Germany (Germany)
1979,Economics,The Sveriges Riksbank Prize in Economic Sciences 1979,"""for their pioneering research into economic development research with particular consideration of the problems of developing countries""",2-Jan,692,Individual,Theodore W. Schultz,4/30/1902,"Arlington, SD",United States of America,Male,University of Chicago,"Chicago, IL",United States of America,2/26/1998,"Evanston, IL",United States of America
1979,Economics,The Sveriges Riksbank Prize in Economic Sciences 1979,"""for their pioneering research into economic development research with particular consideration of the problems of developing countries""",2-Jan,693,Individual,Sir Arthur Lewis,1/23/1915,Castries,British West Indies (Saint Lucia),Male,Princeton University,"Princeton, NJ",United States of America,6/15/1991,Bridgetown,Barbados
1979,Literature,The Nobel Prize in Literature 1979,"""for his poetry, which, against the background of Greek tradition, depicts with sensuous strength and intellectual clear-sightedness modern man's struggle for freedom and creativeness""",1-Jan,655,Individual,Odysseus Elytis,11/2/1911,Iráklion,Crete (Greece),Male,,,,3/18/1996,Athens,Greece
1979,Medicine,The Nobel Prize in Physiology or Medicine 1979,"""for the development of computer assisted tomography""",2-Jan,417,Individual,Allan M. Cormack,2/23/1924,Johannesburg,South Africa,Male,Tufts University,"Medford, MA",United States of America,5/7/1998,"Winchester, MA",United States of America
1979,Medicine,The Nobel Prize in Physiology or Medicine 1979,"""for the development of computer assisted tomography""",2-Jan,418,Individual,Godfrey N. Hounsfield,8/28/1919,Newark,United Kingdom,Male,"Central Research Laboratories, EMI",London,United Kingdom,8/12/2004,Kingston upon Thames,United Kingdom
1979,Peace,The Nobel Peace Prize 1979,,1-Jan,540,Organization,Mother Teresa,8/26/1910,Uskup (Skopje),Ottoman Empire (Republic of Macedonia),Female,,,,9/5/1997,Calcutta,India
1979,Physics,The Nobel Prize in Physics 1979,"""for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current""",3-Jan,113,Individual,Sheldon Lee Glashow,12/5/1932,"New York, NY",United States of America,Male,"Harvard University, Lyman Laboratory","Cambridge, MA",United States of America,,,
1979,Physics,The Nobel Prize in Physics 1979,"""for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current""",3-Jan,114,Individual,Abdus Salam,1/29/1926,Jhang Maghi&#257;na,India (Pakistan),Male,International Centre for Theoretical Physics,Trieste,Italy,11/21/1996,Oxford,United Kingdom
1979,Physics,The Nobel Prize in Physics 1979,"""for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current""",3-Jan,114,Individual,Abdus Salam,1/29/1926,Jhang Maghi&#257;na,India (Pakistan),Male,Imperial College,London,United Kingdom,11/21/1996,Oxford,United Kingdom
1979,Physics,The Nobel Prize in Physics 1979,"""for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current""",3-Jan,115,Individual,Steven Weinberg,5/3/1933,"New York, NY",United States of America,Male,Harvard University,"Cambridge, MA",United States of America,,,
1980,Chemistry,The Nobel Prize in Chemistry 1980,"""for their contributions concerning the determination of base sequences in nucleic acids""",4-Jan,222,Individual,Frederick Sanger,8/13/1918,Rendcombe,United Kingdom,Male,MRC Laboratory of Molecular Biology,Cambridge,United Kingdom,11/19/2013,Cambridge,United Kingdom
1980,Chemistry,The Nobel Prize in Chemistry 1980,"""for his fundamental studies of the biochemistry of nucleic acids, with particular regard to recombinant-DNA""",2-Jan,254,Individual,Paul Berg,6/30/1926,"New York, NY",United States of America,Male,Stanford University,"Stanford, CA",United States of America,,,
1980,Chemistry,The Nobel Prize in Chemistry 1980,"""for their contributions concerning the determination of base sequences in nucleic acids""",4-Jan,255,Individual,Walter Gilbert,3/21/1932,"Boston, MA",United States of America,Male,"Harvard University, Biological Laboratories","Cambridge, MA",United States of America,,,
1980,Economics,The Sveriges Riksbank Prize in Economic Sciences 1980,"""for the creation of econometric models and the application to the analysis of economic fluctuations and economic policies""",1-Jan,694,Individual,Lawrence R. Klein,9/14/1920,"Omaha, NE",United States of America,Male,University of Pennsylvania,"Philadelphia, PA",United States of America,10/20/2013,"Gladwyne, PA",United States of America
1980,Literature,The Nobel Prize in Literature 1980,"""who with uncompromising clear-sightedness voices man's exposed condition in a world of severe conflicts""",1-Jan,657,Individual,Czeslaw Milosz,6/30/1911,&#346;eteniai,Russian Empire (Lithuania),Male,,,,8/14/2004,Kraków,Poland
1980,Medicine,The Nobel Prize in Physiology or Medicine 1980,"""for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions""",3-Jan,419,Individual,Baruj Benacerraf,10/29/1920,Caracas,Venezuela,Male,Harvard Medical School,"Boston, MA",United States of America,8/2/2011,"Boston, MA",United States of America
1980,Medicine,The Nobel Prize in Physiology or Medicine 1980,"""for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions""",3-Jan,420,Individual,Jean Dausset,10/19/1916,Toulouse,France,Male,"Université de Paris, Laboratoire Immuno-Hématologie",Paris,France,6/6/2009,"Palma, Majorca",Spain
1980,Medicine,The Nobel Prize in Physiology or Medicine 1980,"""for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions""",3-Jan,421,Individual,George D. Snell,12/19/1903,"Bradford, MA",United States of America,Male,Jackson Laboratory,"Bar Harbor, ME",United States of America,6/6/1996,"Bar Harbor, ME",United States of America
1980,Peace,The Nobel Peace Prize 1980,,1-Jan,541,Individual,Adolfo Pérez Esquivel,11/26/1931,Buenos Aires,Argentina,Male,,,,,,
1980,Physics,The Nobel Prize in Physics 1980,"""for the discovery of violations of fundamental symmetry principles in the decay of neutral K-mesons""",2-Jan,116,Individual,James Watson Cronin,9/29/1931,"Chicago, IL",United States of America,Male,University of Chicago,"Chicago, IL",United States of America,8/25/2016,"St. Paul, MN",United States of America
1980,Physics,The Nobel Prize in Physics 1980,"""for the discovery of violations of fundamental symmetry principles in the decay of neutral K-mesons""",2-Jan,117,Individual,Val Logsdon Fitch,3/10/1923,"Merriman, NE",United States of America,Male,Princeton University,"Princeton, NJ",United States of America,2/5/2015,"Princeton, NJ",United States of America
1981,Chemistry,The Nobel Prize in Chemistry 1981,"""for their theories, developed independently, concerning the course of chemical reactions""",2-Jan,257,Individual,Kenichi Fukui,10/4/1918,Nara,Japan,Male,Kyoto University,Kyoto,Japan,1/9/1998,Kyoto,Japan
1981,Chemistry,The Nobel Prize in Chemistry 1981,"""for their theories, developed independently, concerning the course of chemical reactions""",2-Jan,258,Individual,Roald Hoffmann,7/18/1937,Zloczov,Poland (Ukraine),Male,Cornell University,"Ithaca, NY",United States of America,,,
1981,Economics,The Sveriges Riksbank Prize in Economic Sciences 1981,"""for his analysis of financial markets and their relations to expenditure decisions, employment, production and prices""",1-Jan,695,Individual,James Tobin,3/5/1918,"Champaign, IL",United States of America,Male,Yale University,"New Haven, CT",United States of America,3/11/2002,"New Haven, CT",United States of America
1981,Literature,The Nobel Prize in Literature 1981,"""for writings marked by a broad outlook, a wealth of ideas and artistic power""",1-Jan,658,Individual,Elias Canetti,7/25/1905,Ruse,Bulgaria,Male,,,,8/14/1994,Zurich,Switzerland
1981,Medicine,The Nobel Prize in Physiology or Medicine 1981,"""for his discoveries concerning the functional specialization of the cerebral hemispheres""",2-Jan,422,Individual,Roger W. Sperry,8/20/1913,"Hartford, CT",United States of America,Male,California Institute of Technology (Caltech),"Pasadena, CA",United States of America,4/17/1994,"Pasadena, CA",United States of America
1981,Medicine,The Nobel Prize in Physiology or Medicine 1981,"""for their discoveries concerning information processing in the visual system""",4-Jan,423,Individual,David H. Hubel,2/27/1926,"Windsor, ON",Canada,Male,Harvard Medical School,"Boston, MA",United States of America,9/22/2013,"Lincoln, MA",United States of America
1981,Medicine,The Nobel Prize in Physiology or Medicine 1981,"""for their discoveries concerning information processing in the visual system""",4-Jan,424,Individual,Torsten N. Wiesel,6/3/1924,Uppsala,Sweden,Male,Harvard Medical School,"Boston, MA",United States of America,,,
1981,Peace,The Nobel Peace Prize 1981,,1-Jan,515,Organization,Office of the United Nations High Commissioner for Refugees (UNHCR),,,,,,,,,,
1981,Physics,The Nobel Prize in Physics 1981,"""for their contribution to the development of laser spectroscopy""",4-Jan,118,Individual,Nicolaas Bloembergen,3/11/1920,Dordrecht,Netherlands,Male,Harvard University,"Cambridge, MA",United States of America,,,
1981,Physics,The Nobel Prize in Physics 1981,"""for their contribution to the development of laser spectroscopy""",4-Jan,119,Individual,Arthur Leonard Schawlow,5/5/1921,"Mount Verno, NY",United States of America,Male,Stanford University,"Stanford, CA",United States of America,4/28/1999,"Palo Alto, CA",United States of America
1981,Physics,The Nobel Prize in Physics 1981,"""for his contribution to the development of high-resolution electron spectroscopy""",2-Jan,120,Individual,Kai M. Siegbahn,4/20/1918,Lund,Sweden,Male,Uppsala University,Uppsala,Sweden,7/20/2007,Ängelholm,Sweden
1982,Chemistry,The Nobel Prize in Chemistry 1982,"""for his development of crystallographic electron microscopy and his structural elucidation of biologically important nucleic acid-protein complexes""",1-Jan,259,Individual,Aaron Klug,8/11/1926,Zelvas,Lithuania,Male,MRC Laboratory of Molecular Biology,Cambridge,United Kingdom,,,
1982,Economics,The Sveriges Riksbank Prize in Economic Sciences 1982,"""for his seminal studies of industrial structures, functioning of markets and causes and effects of public regulation""",1-Jan,696,Individual,George J. Stigler,1/17/1911,"Renton, WA",United States of America,Male,University of Chicago,"Chicago, IL",United States of America,12/1/1991,"Chicago, IL",United States of America
1982,Literature,The Nobel Prize in Literature 1982,"""for his novels and short stories, in which the fantastic and the realistic are combined in a richly composed world of imagination, reflecting a continent's life and conflicts""",1-Jan,659,Individual,Gabriel García Márquez,3/6/1927,Aracataca,Colombia,Male,,,,4/17/2014,Mexico City,Mexico
1982,Medicine,The Nobel Prize in Physiology or Medicine 1982,"""for their discoveries concerning prostaglandins and related biologically active substances""",3-Jan,425,Individual,Sune K. Bergström,1/10/1916,Stockholm,Sweden,Male,Karolinska Institutet,Stockholm,Sweden,8/15/2004,Stockholm,Sweden
1982,Medicine,The Nobel Prize in Physiology or Medicine 1982,"""for their discoveries concerning prostaglandins and related biologically active substances""",3-Jan,426,Individual,Bengt I. Samuelsson,5/21/1934,Halmstad,Sweden,Male,Karolinska Institutet,Stockholm,Sweden,,,
1982,Medicine,The Nobel Prize in Physiology or Medicine 1982,"""for their discoveries concerning prostaglandins and related biologically active substances""",3-Jan,427,Individual,John R. Vane,3/29/1927,Tardebigg,United Kingdom,Male,The Wellcome Research Laboratories,Beckenham,United Kingdom,11/19/2004,Farnborough,United Kingdom
1982,Peace,The Nobel Peace Prize 1982,,2-Jan,543,Individual,Alva Myrdal,1/31/1902,Uppsala,Sweden,Female,,,,2/1/1986,Stockholm,Sweden
1982,Peace,The Nobel Peace Prize 1982,,2-Jan,544,Individual,Alfonso García Robles,3/20/1911,Zamora,Mexico,Male,,,,9/2/1991,Mexico City,Mexico
1982,Physics,The Nobel Prize in Physics 1982,"""for his theory for critical phenomena in connection with phase transitions""",1-Jan,121,Individual,Kenneth G. Wilson,6/8/1936,"Waltham, MA",United States of America,Male,Cornell University,"Ithaca, NY",United States of America,6/15/2013,"Saco, ME",United States of America
1983,Chemistry,The Nobel Prize in Chemistry 1983,"""for his work on the mechanisms of electron transfer reactions, especially in metal complexes""",1-Jan,260,Individual,Henry Taube,11/30/1915,Neudorf,Canada,Male,Stanford University,"Stanford, CA",United States of America,11/16/2005,"Stanford, CA",United States of America
1983,Economics,The Sveriges Riksbank Prize in Economic Sciences 1983,"""for having incorporated new analytical methods into economic theory and for his rigorous reformulation of the theory of general equilibrium""",1-Jan,697,Individual,Gerard Debreu,7/4/1921,Calais,France,Male,University of California,"Berkeley, CA",United States of America,12/31/2004,Paris,France
1983,Literature,The Nobel Prize in Literature 1983,"""for his novels which, with the perspicuity of realistic narrative art and the diversity and universality of myth, illuminate the human condition in the world of today""",1-Jan,660,Individual,William Golding,9/19/1911,St. Columb Minor,United Kingdom,Male,,,,6/19/1993,Perranarworthal,United Kingdom
1983,Medicine,The Nobel Prize in Physiology or Medicine 1983,"""for her discovery of mobile genetic elements""",1-Jan,428,Individual,Barbara McClintock,6/16/1902,"Hartford, CT",United States of America,Female,Cold Spring Harbor Laboratory,"Cold Spring Harbor, NY",United States of America,9/2/1992,"Huntington, NY",United States of America
1983,Peace,The Nobel Peace Prize 1983,,1-Jan,545,Individual,Lech Walesa,9/29/1943,Popowo,Poland,Male,,,,,,
1983,Physics,The Nobel Prize in Physics 1983,"""for his theoretical studies of the physical processes of importance to the structure and evolution of the stars""",2-Jan,122,Individual,Subramanyan Chandrasekhar,10/19/1910,Lahore,India (Pakistan),Male,University of Chicago,"Chicago, IL",United States of America,8/21/1995,"Chicago, IL",United States of America
1983,Physics,The Nobel Prize in Physics 1983,"""for his theoretical and experimental studies of the nuclear reactions of importance in the formation of the chemical elements in the universe""",2-Jan,123,Individual,William Alfred Fowler,8/9/1911,"Pittsburgh, PA",United States of America,Male,California Institute of Technology (Caltech),"Pasadena, CA",United States of America,3/14/1995,"Pasadena, CA",United States of America
1984,Chemistry,The Nobel Prize in Chemistry 1984,"""for his development of methodology for chemical synthesis on a solid matrix""",1-Jan,261,Individual,Robert Bruce Merrifield,7/15/1921,"Fort Worth, TX",United States of America,Male,Rockefeller University,"New York, NY",United States of America,5/14/2006,"Cresskill, NJ",United States of America
1984,Economics,The Sveriges Riksbank Prize in Economic Sciences 1984,"""for having made fundamental contributions to the development of systems of national accounts and hence greatly improved the basis for empirical economic analysis""",1-Jan,698,Individual,Richard Stone,8/30/1913,London,United Kingdom,Male,University of Cambridge,Cambridge,United Kingdom,12/6/1991,Cambridge,United Kingdom
1984,Literature,The Nobel Prize in Literature 1984,"""for his poetry which endowed with freshness, sensuality and rich inventiveness provides a liberating image of the indomitable spirit and versatility of man""",1-Jan,661,Individual,Jaroslav Seifert,9/23/1901,Prague,Austria-Hungary (Czech Republic),Male,,,,1/10/1986,Prague,Czechoslovakia
1984,Medicine,The Nobel Prize in Physiology or Medicine 1984,"""for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies""",3-Jan,429,Individual,Niels K. Jerne,12/23/1911,London,United Kingdom,Male,Basel Institute for Immunology,Basel,Switzerland,10/7/1994,Castillon-du-Gard,France
1984,Medicine,The Nobel Prize in Physiology or Medicine 1984,"""for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies""",3-Jan,430,Individual,Georges J.F. Köhler,4/17/1946,Munich,Germany,Male,Basel Institute for Immunology,Basel,Switzerland,3/1/1995,Freiburg im Breisgau,Germany
1984,Medicine,The Nobel Prize in Physiology or Medicine 1984,"""for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies""",3-Jan,431,Individual,César Milstein,10/8/1927,Bahia Blanca,Argentina,Male,MRC Laboratory of Molecular Biology,Cambridge,United Kingdom,3/24/2002,Cambridge,United Kingdom
1984,Peace,The Nobel Peace Prize 1984,,1-Jan,546,Individual,Desmond Mpilo Tutu,10/7/1931,Klerksdorp,South Africa,Male,,,,,,
1984,Physics,The Nobel Prize in Physics 1984,"""for their decisive contributions to the large project, which led to the discovery of the field particles W and Z, communicators of weak interaction""",2-Jan,124,Individual,Carlo Rubbia,3/31/1934,Gorizia,Italy,Male,CERN,Geneva,Switzerland,,Geneva,Switzerland
1984,Physics,The Nobel Prize in Physics 1984,"""for their decisive contributions to the large project, which led to the discovery of the field particles W and Z, communicators of weak interaction""",2-Jan,125,Individual,Simon van der Meer,11/24/1925,the Hague,Netherlands,Male,CERN,Geneva,Switzerland,3/4/2011,Geneva,Switzerland
1985,Chemistry,The Nobel Prize in Chemistry 1985,"""for their outstanding achievements in the development of direct methods for the determination of crystal structures""",2-Jan,262,Individual,Herbert A. Hauptman,2/14/1917,"New York, NY",United States of America,Male,The Medical Foundation of Buffalo,"Buffalo, NY",United States of America,10/23/2011,"Buffalo, NY",United States of America
1985,Chemistry,The Nobel Prize in Chemistry 1985,"""for their outstanding achievements in the development of direct methods for the determination of crystal structures""",2-Jan,263,Individual,Jerome Karle,6/18/1918,"New York, NY",United States of America,Male,US Naval Research Laboratory,"Washington, DC",United States of America,6/6/2013,,
1985,Economics,The Sveriges Riksbank Prize in Economic Sciences 1985,"""for his pioneering analyses of saving and of financial markets""",1-Jan,699,Individual,Franco Modigliani,6/18/1918,Rome,Italy,Male,Massachusetts Institute of Technology (MIT),"Cambridge, MA",United States of America,9/25/2003,"Cambridge, MA",United States of America
1985,Literature,The Nobel Prize in Literature 1985,"""who in his novel combines the poet's and the painter's creativeness with a deepened awareness of time in the depiction of the human condition""",1-Jan,662,Individual,Claude Simon,10/10/1913,Tananarive (Antananarivo),Madagascar,Male,,,,7/6/2005,Paris,France
1985,Medicine,The Nobel Prize in Physiology or Medicine 1985,"""for their discoveries concerning the regulation of cholesterol metabolism""",2-Jan,432,Individual,Michael S. Brown,4/13/1941,"New York, NY",United States of America,Male,University of Texas Southwestern Medical Center at Dallas,"Dallas, TX",United States of America,,,
1985,Medicine,The Nobel Prize in Physiology or Medicine 1985,"""for their discoveries concerning the regulation of cholesterol metabolism""",2-Jan,433,Individual,Joseph L. Goldstein,4/18/1940,"Sumter, SC",United States of America,Male,University of Texas Southwestern Medical Center at Dallas,"Dallas, TX",United States of America,,,
1985,Peace,The Nobel Peace Prize 1985,,1-Jan,547,Organization,International Physicians for the Prevention of Nuclear War,,,,,,,,,,
1985,Physics,The Nobel Prize in Physics 1985,"""for the discovery of the quantized Hall effect""",1-Jan,126,Individual,Klaus von Klitzing,6/28/1943,Schroda,German-occupied Poland (Poland),Male,Max-Planck-Institut für Festkörperforschung,Stuttgart,Federal Republic of Germany,,,
1986,Chemistry,The Nobel Prize in Chemistry 1986,"""for their contributions concerning the dynamics of chemical elementary processes""",3-Jan,264,Individual,Dudley R. Herschbach,6/18/1932,"San José, CA",United States of America,Male,Harvard University,"Cambridge, MA",United States of America,,,
1986,Chemistry,The Nobel Prize in Chemistry 1986,"""for their contributions concerning the dynamics of chemical elementary processes""",3-Jan,265,Individual,Yuan T. Lee,11/19/1936,Hsinchu,Taiwan,Male,University of California,"Berkeley, CA",United States of America,,,
1986,Chemistry,The Nobel Prize in Chemistry 1986,"""for their contributions concerning the dynamics of chemical elementary processes""",3-Jan,266,Individual,John C. Polanyi,1/23/1929,Berlin,Germany,Male,University of Toronto,Toronto,Canada,,,
1986,Economics,The Sveriges Riksbank Prize in Economic Sciences 1986,"""for his development of the contractual and constitutional bases for the theory of economic and political decision-making""",1-Jan,700,Individual,James M. Buchanan Jr.,10/3/1919,"Murfreesboro, TN",United States of America,Male,Center for Study of Public Choice,"Fairfax, VA",United States of America,1/9/2013,"Blacksburg, VA",United States of America
1986,Literature,The Nobel Prize in Literature 1986,"""who in a wide cultural perspective and with poetic overtones fashions the drama of existence""",1-Jan,663,Individual,Wole Soyinka,7/13/1934,Abeokuta,Nigeria,Male,,,,,,
1986,Medicine,The Nobel Prize in Physiology or Medicine 1986,"""for their discoveries of growth factors""",2-Jan,434,Individual,Stanley Cohen,11/17/1922,"Brooklyn, NY",United States of America,Male,Vanderbilt University School of Medicine,"Nashville, TN",United States of America,,,
1986,Medicine,The Nobel Prize in Physiology or Medicine 1986,"""for their discoveries of growth factors""",2-Jan,435,Individual,Rita Levi-Montalcini,4/22/1909,Turin,Italy,Female,Institute of Cell Biology of the C.N.R.,Rome,Italy,12/30/2012,Rome,Italy
1986,Peace,The Nobel Peace Prize 1986,,1-Jan,548,Individual,Elie Wiesel,9/30/1928,Sighet,Romania,Male,,,,7/2/2016,"New York, NY",United States of America
1986,Physics,The Nobel Prize in Physics 1986,"""for his fundamental work in electron optics, and for the design of the first electron microscope""",2-Jan,127,Individual,Ernst Ruska,12/25/1906,Heidelberg,Germany,Male,Fritz-Haber-Institut der Max-Planck-Gesellschaft,Berlin,Federal Republic of Germany,5/27/1988,West Berlin,Germany
1986,Physics,The Nobel Prize in Physics 1986,"""for their design of the scanning tunneling microscope""",4-Jan,128,Individual,Gerd Binnig,7/20/1947,Frankfurt-on-the-Main,West Germany (Germany),Male,IBM Zurich Research Laboratory,Rüschlikon,Switzerland,,,
1986,Physics,The Nobel Prize in Physics 1986,"""for their design of the scanning tunneling microscope""",4-Jan,129,Individual,Heinrich Rohrer,6/6/1933,Buchs,Switzerland,Male,IBM Zurich Research Laboratory,Rüschlikon,Switzerland,5/16/2013,Wollerau,Switzerland
1987,Chemistry,The Nobel Prize in Chemistry 1987,"""for their development and use of molecules with structure-specific interactions of high selectivity""",3-Jan,267,Individual,Donald J. Cram,4/22/1919,"Chester, VT",United States of America,Male,University of California,"Los Angeles, CA",United States of America,6/17/2001,"Palm Desert, CA",United States of America
1987,Chemistry,The Nobel Prize in Chemistry 1987,"""for their development and use of molecules with structure-specific interactions of high selectivity""",3-Jan,268,Individual,Jean-Marie Lehn,9/30/1939,Rosheim,France,Male,Université Louis Pasteur,Strasbourg,France,,,
1987,Chemistry,The Nobel Prize in Chemistry 1987,"""for their development and use of molecules with structure-specific interactions of high selectivity""",3-Jan,268,Individual,Jean-Marie Lehn,9/30/1939,Rosheim,France,Male,Collège de France,Paris,France,,,
1987,Chemistry,The Nobel Prize in Chemistry 1987,"""for their development and use of molecules with structure-specific interactions of high selectivity""",3-Jan,269,Individual,Charles J. Pedersen,10/3/1904,Pusan,Korea (South Korea),Male,Du Pont,"Wilmington, DE",United States of America,10/26/1989,"Salem, NJ",United States of America
1987,Economics,The Sveriges Riksbank Prize in Economic Sciences 1987,"""for his contributions to the theory of economic growth""",1-Jan,701,Individual,Robert M. Solow,8/23/1924,"Brooklyn, NY",United States of America,Male,Massachusetts Institute of Technology (MIT),"Cambridge, MA",United States of America,,,
1987,Literature,The Nobel Prize in Literature 1987,"""for an all-embracing authorship, imbued with clarity of thought and poetic intensity""",1-Jan,664,Individual,Joseph Brodsky,5/24/1940,Leningrad (Saint Petersburg),Union of Soviet Socialist Republics (Russia),Male,,,,1/28/1996,"New York, NY",United States of America
1987,Medicine,The Nobel Prize in Physiology or Medicine 1987,"""for his discovery of the genetic principle for generation of antibody diversity""",1-Jan,436,Individual,Susumu Tonegawa,9/6/1939,Nagoya,Japan,Male,Massachusetts Institute of Technology (MIT),"Cambridge, MA",United States of America,,,
1987,Peace,The Nobel Peace Prize 1987,"""for his work for peace in Central America, efforts which led to the accord signed in Guatemala on August 7 this year""",1-Jan,549,Individual,Oscar Arias Sánchez,9/13/1941,Heredia,Costa Rica,Male,,,,,,
1987,Physics,The Nobel Prize in Physics 1987,"""for their important break-through in the discovery of superconductivity in ceramic materials""",2-Jan,130,Individual,J. Georg Bednorz,5/16/1950,Neuenkirchen,West Germany (Germany),Male,IBM Zurich Research Laboratory,Rüschlikon,Switzerland,,,
1987,Physics,The Nobel Prize in Physics 1987,"""for their important break-through in the discovery of superconductivity in ceramic materials""",2-Jan,131,Individual,K. Alexander Müller,4/20/1927,Basel,Switzerland,Male,IBM Zurich Research Laboratory,Rüschlikon,Switzerland,,,
1988,Chemistry,The Nobel Prize in Chemistry 1988,"""for the determination of the three-dimensional structure of a photosynthetic reaction centre""",3-Jan,270,Individual,Johann Deisenhofer,9/30/1943,Zusamaltheim,Germany,Male,University of Texas Southwestern Medical Center at Dallas,"Dallas, TX",United States of America,,,
